Block,Slot,Epoch,DateTime (UTC),Txn,Fee Recipient,Fee Recipient Nametag,Gas Used,Gas Used(%), % Of Gas Target,Gas Limit,Base Fee,Reward,Burnt Fees (ETH),Burnt Fees (%)
"30","N/A","N/A","2015-07-30 15:30:41","0","0xbb7b8287f3f0a933474a79eae42cbca977791171","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"29","N/A","N/A","2015-07-30 15:30:39","0","0x322df8fd261820c36234f806b15f51a2203a8f88","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"28","N/A","N/A","2015-07-30 15:30:28","0","0x0193d941b50d91be6567c7ee1c0fe7af498b4137","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"27","N/A","N/A","2015-07-30 15:30:23","0","0x48cd680bb700f6b7de89dd9ff4932ccc158c3e05","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"26","N/A","N/A","2015-07-30 15:30:16","0","0x48cd680bb700f6b7de89dd9ff4932ccc158c3e05","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"25","N/A","N/A","2015-07-30 15:30:14","0","0xbb7b8287f3f0a933474a79eae42cbca977791171","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"24","N/A","N/A","2015-07-30 15:30:13","0","0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"23","N/A","N/A","2015-07-30 15:30:08","0","0x0193d941b50d91be6567c7ee1c0fe7af498b4137","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"22","N/A","N/A","2015-07-30 15:30:04","0","0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"21","N/A","N/A","2015-07-30 15:29:53","0","0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c","","0","0.00%","-100%","5,000","0 Wei","5.15625 ETH","0.000000","0%"
"20","N/A","N/A","2015-07-30 15:29:49","0","0x0193d941b50d91be6567c7ee1c0fe7af498b4137","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"19","N/A","N/A","2015-07-30 15:29:47","0","0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"18","N/A","N/A","2015-07-30 15:29:40","0","0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"17","N/A","N/A","2015-07-30 15:29:38","0","0x0193d941b50d91be6567c7ee1c0fe7af498b4137","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"16","N/A","N/A","2015-07-30 15:29:34","0","0x19dafe19f11e960e4ccfc6a5aa8890ebd748ca1e","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"15","N/A","N/A","2015-07-30 15:29:28","0","0x0193d941b50d91be6567c7ee1c0fe7af498b4137","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"14","N/A","N/A","2015-07-30 15:29:21","0","0xacc8decdfdcbed202b8632947c60487494f5d2c7","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"13","N/A","N/A","2015-07-30 15:29:18","0","0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"12","N/A","N/A","2015-07-30 15:29:04","0","0x0193d941b50d91be6567c7ee1c0fe7af498b4137","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"11","N/A","N/A","2015-07-30 15:28:56","0","0x19dafe19f11e960e4ccfc6a5aa8890ebd748ca1e","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"10","N/A","N/A","2015-07-30 15:28:48","0","0x0193d941b50d91be6567c7ee1c0fe7af498b4137","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"9","N/A","N/A","2015-07-30 15:28:35","0","0xdd2f1e6e498202e86d8f5442af596580a4f03c2c","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"8","N/A","N/A","2015-07-30 15:28:32","0","0x0193d941b50d91be6567c7ee1c0fe7af498b4137","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"
"7","N/A","N/A","2015-07-30 15:28:30","0","0xdd2f1e6e498202e86d8f5442af596580a4f03c2c","","0","0.00%","-100%","5,000","0 Wei","5.15625 ETH","0.000000","0%"
"6","N/A","N/A","2015-07-30 15:28:27","0","0x0193d941b50d91be6567c7ee1c0fe7af498b4137","","0","0.00%","-100%","5,000","0 Wei","5 ETH","0.000000","0%"